i,t,y
210013,2023-02-20,0.0
210013,2023-02-27,0.0
210013,2023-03-06,0.0
210013,2023-03-13,0.0
210013,2023-03-20,0.0
210013,2023-03-27,0.0
210013,2023-04-03,0.0
210013,2023-04-10,0.0
210013,2023-04-17,0.0
210013,2023-04-24,0.0
210013,2023-05-01,0.0
210013,2023-05-08,0.0
210013,2023-05-15,0.0
210013,2023-05-22,0.0
210013,2023-05-29,0.0
210013,2023-06-05,0.0
210013,2023-06-12,0.0
210013,2023-06-19,182.0
210013,2023-06-26,182.0
210013,2023-07-03,163.0
210013,2023-07-10,143.0
210013,2023-07-17,138.0
210013,2023-07-24,258.0
210013,2023-07-31,258.0
210021,2022-07-04,74.0
210021,2022-07-11,23.0
210021,2022-07-18,23.0
210021,2022-07-25,23.0
210021,2022-08-01,0.0
210021,2022-08-08,56.0
210021,2022-08-15,49.0
210021,2022-08-22,49.0
210021,2022-08-29,77.0
210021,2022-09-05,168.0
210021,2022-09-12,108.0
210021,2022-09-19,68.0
210021,2022-09-26,428.0
210021,2022-10-03,392.0
210021,2022-10-10,303.0
210021,2022-10-17,601.0
210021,2022-10-24,601.0
210021,2022-10-31,599.0
210021,2022-11-07,544.0
210021,2022-11-14,509.0
210021,2022-11-21,509.0
210021,2022-11-28,869.0
210021,2022-12-05,839.0
210021,2022-12-12,789.0
210021,2022-12-19,772.0
210021,2022-12-26,772.0
210021,2023-01-02,766.0
210021,2023-01-09,723.0
210021,2023-01-16,710.0
210021,2023-01-23,710.0
210021,2023-01-30,710.0
210021,2023-02-06,1393.0
210021,2023-02-13,1333.0
210021,2023-02-20,1331.0
210021,2023-02-27,1331.0
210021,2023-03-06,1260.0
210021,2023-03-13,1191.0
210021,2023-03-20,1159.0
210021,2023-03-27,1159.0
210021,2023-04-03,1359.0
210021,2023-04-10,1298.0
210021,2023-04-17,1258.0
210021,2023-04-24,1258.0
210021,2023-05-01,1477.0
210021,2023-05-08,1411.0
210021,2023-05-15,1356.0
210021,2023-05-22,1716.0
210021,2023-05-29,1716.0
210021,2023-06-05,1680.0
210021,2023-06-12,1732.0
210021,2023-06-19,1710.0
210021,2023-06-26,1710.0
210021,2023-07-03,1710.0
210021,2023-07-10,1710.0
210021,2023-07-17,1710.0
210021,2023-07-24,1710.0
210021,2023-07-31,1710.0
210091,2022-07-04,55.0
210091,2022-07-11,45.0
210091,2022-07-18,45.0
210091,2022-07-25,45.0
210091,2022-08-01,41.0
210091,2022-08-08,28.0
210091,2022-08-15,26.0
210091,2022-08-22,26.0
210091,2022-08-29,35.0
210091,2022-09-05,28.0
210091,2022-09-12,27.0
210091,2022-09-19,13.0
210091,2022-09-26,13.0
210091,2022-10-03,9.0
210091,2022-10-10,0.0
210091,2022-10-17,54.0
210091,2022-10-24,54.0
210091,2022-10-31,54.0
210091,2022-11-07,43.0
210091,2022-11-14,41.0
210091,2022-11-21,41.0
210091,2022-11-28,161.0
210091,2022-12-05,159.0
210091,2022-12-12,157.0
210091,2022-12-19,157.0
210091,2022-12-26,157.0
210091,2023-01-02,156.0
210091,2023-01-09,147.0
210091,2023-01-16,143.0
210091,2023-01-23,143.0
210091,2023-01-30,143.0
210091,2023-02-06,139.0
210091,2023-02-13,133.0
210091,2023-02-20,253.0
210091,2023-02-27,253.0
210091,2023-03-06,241.0
210091,2023-03-13,228.0
210091,2023-03-20,223.0
210091,2023-03-27,223.0
210091,2023-04-03,214.0
210091,2023-04-10,205.0
210091,2023-04-17,198.0
210091,2023-04-24,198.0
210091,2023-05-01,193.0
210091,2023-05-08,185.0
210091,2023-05-15,175.0
210091,2023-05-22,175.0
210091,2023-05-29,175.0
210091,2023-06-05,161.0
210091,2023-06-12,144.0
210091,2023-06-19,144.0
210091,2023-06-26,144.0
210091,2023-07-03,144.0
210091,2023-07-10,144.0
210091,2023-07-17,144.0
210091,2023-07-24,144.0
210091,2023-07-31,144.0
210101,2022-07-04,10.0
210101,2022-07-11,0.0
210101,2022-07-18,223.0
210101,2022-07-25,583.0
210101,2022-08-01,563.0
210101,2022-08-08,740.0
210101,2022-08-15,679.0
210101,2022-08-22,799.0
210101,2022-08-29,1035.0
210101,2022-09-05,1193.0
210101,2022-09-12,1079.0
210101,2022-09-19,1331.0
210101,2022-09-26,1571.0
210101,2022-10-03,1546.0
210101,2022-10-10,1508.0
210101,2022-10-17,1472.0
210101,2022-10-24,1472.0
210101,2022-10-31,1712.0
210101,2022-11-07,1689.0
210101,2022-11-14,1668.0
210101,2022-11-21,1668.0
